store_name,birthdate
G Coffee @ Kampung Changkat,1979-05-08
G Coffee @ Kampung Changkat,1981-12-26
G Coffee @ Kampung Changkat,1982-06-22
G Coffee @ Kampung Changkat,1986-03-05
G Coffee @ Kampung Changkat,1986-08-06
G Coffee @ Kampung Changkat,1986-08-10
G Coffee @ Kampung Changkat,1987-05-20
G Coffee @ Kampung Changkat,1987-10-06
G Coffee @ Kampung Changkat,1988-01-25
G Coffee @ Kampung Changkat,1988-04-07
G Coffee @ Kampung Changkat,1995-11-19
G Coffee @ Kampung Changkat,1996-12-24
G Coffee @ Kampung Changkat,1997-08-29
G Coffee @ Kampung Changkat,1999-09-16
G Coffee @ Kampung Changkat,2000-07-29
G Coffee @ Kampung Changkat,2000-10-21
G Coffee @ Kampung Changkat,2001-05-02
G Coffee @ Kampung Changkat,2001-07-07
G Coffee @ Kampung Changkat,2002-04-25
G Coffee @ Kampung Changkat,2003-03-03
G Coffee @ Kampung Changkat,2004-10-12
G Coffee @ Kampung Changkat,2006-03-13
G Coffee @ Kampung Changkat,2007-01-20
G Coffee @ Kampung Changkat,1977-10-06
G Coffee @ Kondominium Putra,1964-07-25
G Coffee @ Kondominium Putra,1966-09-17
G Coffee @ Kondominium Putra,1967-05-30
G Coffee @ Kondominium Putra,1981-03-08
G Coffee @ Kondominium Putra,1982-06-03
G Coffee @ Kondominium Putra,1991-09-03
G Coffee @ Kondominium Putra,1992-12-11
G Coffee @ Kondominium Putra,1965-02-16
G Coffee @ Kondominium Putra,1969-04-02
G Coffee @ Kondominium Putra,1969-08-18
G Coffee @ Kondominium Putra,1970-01-30
G Coffee @ Kondominium Putra,1972-05-19
G Coffee @ Kondominium Putra,1972-06-10
G Coffee @ Kondominium Putra,1972-09-13
G Coffee @ Kondominium Putra,1975-01-04
G Coffee @ Kondominium Putra,1980-03-20
G Coffee @ Kondominium Putra,1981-07-22
G Coffee @ Kondominium Putra,1982-02-13
G Coffee @ Kondominium Putra,1983-11-06
G Coffee @ Kondominium Putra,1984-05-10
G Coffee @ Kondominium Putra,1984-06-08
G Coffee @ Kondominium Putra,1986-10-06
G Coffee @ Kondominium Putra,1986-11-13
G Coffee @ Kondominium Putra,1988-05-29
G Coffee @ Kondominium Putra,1989-04-07
G Coffee @ Kondominium Putra,1989-04-26
G Coffee @ Kondominium Putra,1993-01-29
G Coffee @ Kondominium Putra,1994-08-21
G Coffee @ Kondominium Putra,1998-08-14
G Coffee @ Kondominium Putra,1998-08-23
G Coffee @ Kondominium Putra,2005-03-02
G Coffee @ Kondominium Putra,2007-03-28
G Coffee @ Kondominium Putra,2007-11-16
G Coffee @ Kondominium Putra,2007-12-27
G Coffee @ Kondominium Putra,1993-12-11
G Coffee @ PJS8,1975-07-15
G Coffee @ PJS8,1990-08-08
G Coffee @ PJS8,1965-11-18
G Coffee @ PJS8,1966-12-24
G Coffee @ PJS8,1967-04-16
G Coffee @ PJS8,1969-07-14
G Coffee @ PJS8,1971-02-24
G Coffee @ PJS8,1971-07-28
G Coffee @ PJS8,1973-02-21
G Coffee @ PJS8,1978-07-10
G Coffee @ PJS8,1978-08-09
G Coffee @ PJS8,1982-11-25
G Coffee @ PJS8,1983-09-22
G Coffee @ PJS8,1983-12-18
G Coffee @ PJS8,1984-01-16
G Coffee @ PJS8,1986-02-19
G Coffee @ PJS8,1986-06-25
G Coffee @ PJS8,1996-06-06
G Coffee @ PJS8,1996-07-16
G Coffee @ PJS8,1997-07-21
G Coffee @ PJS8,1997-10-02
G Coffee @ PJS8,1998-09-22
G Coffee @ PJS8,2000-06-23
G Coffee @ PJS8,2002-01-01
G Coffee @ PJS8,2002-01-14
G Coffee @ PJS8,2003-11-02
G Coffee @ PJS8,2005-12-09
G Coffee @ PJS8,2006-06-03
G Coffee @ PJS8,2006-11-20
G Coffee @ PJS8,2007-07-09
G Coffee @ PJS8,2008-01-13
G Coffee @ PJS8,2008-04-21
G Coffee @ PJS8,2008-12-11
G Coffee @ PJS8,2009-05-12
G Coffee @ PJS8,1999-07-11
G Coffee @ Seksyen 21,1966-01-20
G Coffee @ Seksyen 21,1970-03-03
G Coffee @ Seksyen 21,1972-06-25
G Coffee @ Seksyen 21,1973-05-08
G Coffee @ Seksyen 21,1980-07-29
G Coffee @ Seksyen 21,1980-12-02
G Coffee @ Seksyen 21,1982-11-09
G Coffee @ Seksyen 21,1985-05-22
G Coffee @ Seksyen 21,1987-02-15
G Coffee @ Seksyen 21,1994-04-12
G Coffee @ Seksyen 21,2003-06-10
G Coffee @ Seksyen 21,1964-12-04
G Coffee @ Seksyen 21,1965-04-01
G Coffee @ Seksyen 21,1968-12-13
G Coffee @ Seksyen 21,1969-03-26
G Coffee @ Seksyen 21,1969-12-26
G Coffee @ Seksyen 21,1970-10-11
G Coffee @ Seksyen 21,1972-03-05
G Coffee @ Seksyen 21,1973-12-08
G Coffee @ Seksyen 21,1976-06-11
G Coffee @ Seksyen 21,1977-07-19
G Coffee @ Seksyen 21,1977-09-30
G Coffee @ Seksyen 21,1979-11-11
G Coffee @ Seksyen 21,1981-05-03
G Coffee @ Seksyen 21,1984-07-25
G Coffee @ Seksyen 21,1985-02-07
G Coffee @ Seksyen 21,1985-03-16
G Coffee @ Seksyen 21,1985-04-13
G Coffee @ Seksyen 21,1988-01-30
G Coffee @ Seksyen 21,1988-12-03
G Coffee @ Seksyen 21,1989-04-03
G Coffee @ Seksyen 21,1989-09-10
G Coffee @ Seksyen 21,1997-05-28
G Coffee @ Seksyen 21,2000-07-15
G Coffee @ Seksyen 21,2003-03-22
G Coffee @ Taman Damansara,1964-10-03
G Coffee @ Taman Damansara,1965-08-28
G Coffee @ Taman Damansara,1969-12-14
G Coffee @ Taman Damansara,1986-09-12
G Coffee @ Taman Damansara,1987-07-18
G Coffee @ Taman Damansara,1995-11-02
G Coffee @ Taman Damansara,1999-01-24
G Coffee @ Taman Damansara,2004-07-17
G Coffee @ Taman Damansara,2006-01-04
G Coffee @ Taman Damansara,1967-07-02
G Coffee @ Taman Damansara,1968-03-18
G Coffee @ Taman Damansara,1969-11-09
G Coffee @ Taman Damansara,1972-09-23
G Coffee @ Taman Damansara,1978-06-18
G Coffee @ Taman Damansara,1982-06-22
G Coffee @ Taman Damansara,1984-04-19
G Coffee @ Taman Damansara,1989-03-07
G Coffee @ Taman Damansara,1990-06-01
G Coffee @ Taman Damansara,1992-04-03
G Coffee @ Taman Damansara,1993-02-25
G Coffee @ Taman Damansara,1993-10-27
G Coffee @ Taman Damansara,1995-05-16
G Coffee @ Taman Damansara,1995-07-15
G Coffee @ Taman Damansara,1995-10-17
G Coffee @ Taman Damansara,1997-05-12
G Coffee @ Taman Damansara,1997-09-23
G Coffee @ Taman Damansara,1997-12-28
G Coffee @ Taman Damansara,1998-05-09
G Coffee @ Taman Damansara,1998-10-31
G Coffee @ Taman Damansara,1999-06-22
G Coffee @ Taman Damansara,2001-11-16
G Coffee @ Taman Damansara,2002-03-15
G Coffee @ Taman Damansara,2005-05-28
G Coffee @ Taman Damansara,2006-05-21
G Coffee @ Taman Damansara,2006-09-13
G Coffee @ USJ 57W,1965-01-20
G Coffee @ USJ 57W,1966-05-08
G Coffee @ USJ 57W,1967-03-09
G Coffee @ USJ 57W,1971-12-05
G Coffee @ USJ 57W,1978-03-31
G Coffee @ USJ 57W,1983-01-18
G Coffee @ USJ 57W,1984-12-31
G Coffee @ USJ 57W,1987-04-08
G Coffee @ USJ 57W,1997-02-26
G Coffee @ USJ 57W,2003-02-23
G Coffee @ USJ 57W,2005-10-23
G Coffee @ USJ 57W,2006-01-04
G Coffee @ USJ 57W,2006-06-26
G Coffee @ USJ 57W,2006-11-22
G Coffee @ USJ 57W,2008-12-15
G Coffee @ USJ 57W,1964-11-15
G Coffee @ USJ 57W,1971-02-27
G Coffee @ USJ 57W,1971-08-03
G Coffee @ USJ 57W,1974-06-23
G Coffee @ USJ 57W,1978-08-04
G Coffee @ USJ 57W,1981-01-26
G Coffee @ USJ 57W,1986-07-26
G Coffee @ USJ 57W,1989-07-29
G Coffee @ USJ 57W,1994-08-11
G Coffee @ USJ 57W,1996-06-14
G Coffee @ USJ 57W,1999-12-04
G Coffee @ USJ 57W,2000-03-31
G Coffee @ USJ 57W,2000-06-25
G Coffee @ USJ 57W,2000-07-01
G Coffee @ USJ 57W,2001-07-02
G Coffee @ USJ 57W,2001-08-20
G Coffee @ USJ 57W,2005-11-29
G Coffee @ USJ 57W,2006-02-27
G Coffee @ USJ 57W,2006-12-02
G Coffee @ USJ 57W,2007-03-14
G Coffee @ USJ 89q,2008-10-06
G Coffee @ USJ 89q,1965-08-05
G Coffee @ USJ 89q,1968-10-31
G Coffee @ USJ 89q,1969-02-01
G Coffee @ USJ 89q,1969-02-18
G Coffee @ USJ 89q,1970-04-23
G Coffee @ USJ 89q,1970-09-20
G Coffee @ USJ 89q,1971-08-04
G Coffee @ USJ 89q,1972-02-15
G Coffee @ USJ 89q,1972-10-11
G Coffee @ USJ 89q,1976-05-30
G Coffee @ USJ 89q,1977-04-27
G Coffee @ USJ 89q,1978-06-10
G Coffee @ USJ 89q,1980-09-16
G Coffee @ USJ 89q,1980-10-04
G Coffee @ USJ 89q,1981-09-07
G Coffee @ USJ 89q,1981-11-28
G Coffee @ USJ 89q,1982-09-13
G Coffee @ USJ 89q,1982-12-02
G Coffee @ USJ 89q,1983-08-17
G Coffee @ USJ 89q,1984-01-07
G Coffee @ USJ 89q,1986-05-24
G Coffee @ USJ 89q,1989-04-12
G Coffee @ USJ 89q,1994-02-18
G Coffee @ USJ 89q,1994-05-10
G Coffee @ USJ 89q,1995-09-29
G Coffee @ USJ 89q,2000-03-01
G Coffee @ USJ 89q,2001-11-27
G Coffee @ USJ 89q,2002-12-18
G Coffee @ USJ 89q,2003-04-21
G Coffee @ USJ 89q,2004-07-25
G Coffee @ USJ 89q,2004-08-31
G Coffee @ USJ 89q,2008-10-25
G Coffee @ USJ 89q,2009-05-03
G Coffee @ USJ 89q,1995-10-21
